,heure,type,nb_pl,cam_num,cam_nom
5,1,PL locaux,51.809462915601,"9,10",A62
6,2,PL en transit,45.412844036697244,"9,10",A62
7,2,Vehicules Legers,91.0,"9,10",A62
8,2,PL locaux,53.587155963302756,"9,10",A62
9,3,PL en transit,39.46886016451234,"9,10",A62
10,3,Vehicules Legers,74.0,"9,10",A62
11,3,PL locaux,68.53113983548766,"9,10",A62
12,4,PL en transit,43.93280632411068,"9,10",A62
13,4,Vehicules Legers,150.0,"9,10",A62
14,4,PL locaux,86.06719367588931,"9,10",A62
15,5,PL en transit,79.7703180212014,"9,10",A62
16,5,Vehicules Legers,385.0,"9,10",A62
17,5,PL locaux,135.2296819787986,"9,10",A62
18,6,PL en transit,132.3193307226771,"9,10",A62
19,6,Vehicules Legers,1528.0,"9,10",A62
20,6,PL locaux,222.6806692773229,"9,10",A62
21,7,PL en transit,61.90219224283305,"9,10",A62
22,7,Vehicules Legers,2349.0,"9,10",A62
23,7,PL locaux,242.09780775716695,"9,10",A62
24,8,PL en transit,59.06849315068493,"9,10",A62
25,8,Vehicules Legers,2478.0,"9,10",A62
26,8,PL locaux,199.93150684931507,"9,10",A62
27,9,PL en transit,94.25201938610662,"9,10",A62
28,9,Vehicules Legers,2223.0,"9,10",A62
29,9,PL locaux,277.7479806138934,"9,10",A62
30,10,PL en transit,106.4051684356253,"9,10",A62
31,10,Vehicules Legers,2022.0,"9,10",A62
32,10,PL locaux,313.5948315643747,"9,10",A62
33,11,PL en transit,95.61518135959645,"9,10",A62
34,11,Vehicules Legers,1921.0,"9,10",A62
35,11,PL locaux,311.3848186404035,"9,10",A62
36,12,PL en transit,95.4467289719626,"9,10",A62
37,12,Vehicules Legers,1845.0,"9,10",A62
38,12,PL locaux,268.5532710280374,"9,10",A62
39,13,PL en transit,98.03642206748796,"9,10",A62
40,13,Vehicules Legers,2005.0,"9,10",A62
41,13,PL locaux,247.96357793251204,"9,10",A62
42,14,PL en transit,103.50111912459585,"9,10",A62
43,14,Vehicules Legers,2154.0,"9,10",A62
44,14,PL locaux,274.49888087540415,"9,10",A62
45,15,PL en transit,108.9341085271318,"9,10",A62
46,15,Vehicules Legers,2432.0,"9,10",A62
47,15,PL locaux,276.0658914728682,"9,10",A62
48,16,PL en transit,108.0890844102282,"9,10",A62
49,16,Vehicules Legers,2905.0,"9,10",A62
50,16,PL locaux,227.9109155897718,"9,10",A62
51,17,PL en transit,96.71480144404332,"9,10",A62
52,17,Vehicules Legers,3098.0,"9,10",A62
53,17,PL locaux,185.2851985559567,"9,10",A62
54,18,PL en transit,82.21774604793472,"9,10",A62
55,18,Vehicules Legers,2908.0,"9,10",A62
56,18,PL locaux,158.78225395206528,"9,10",A62
57,19,PL en transit,99.43611793611794,"9,10",A62
58,19,Vehicules Legers,2259.0,"9,10",A62
59,19,PL locaux,117.56388206388206,"9,10",A62
60,20,PL en transit,84.70324189526185,"9,10",A62
61,20,Vehicules Legers,1247.0,"9,10",A62
62,20,PL locaux,77.29675810473815,"9,10",A62
63,21,PL en transit,72.89263157894737,"9,10",A62
64,21,Vehicules Legers,703.0,"9,10",A62
65,21,PL locaux,55.10736842105263,"9,10",A62
66,22,PL en transit,81.12754555198285,"9,10",A62
67,22,Vehicules Legers,486.0,"9,10",A62
68,22,PL locaux,45.87245444801715,"9,10",A62
69,23,PL en transit,56.31442663378545,"9,10",A62
70,23,Vehicules Legers,358.0,"9,10",A62
71,23,PL locaux,52.68557336621455,"9,10",A62
0,0,PL en transit,163.9750939849624,"18,19",A660
